"Length
(cm)","Width 
(cm)",Height (cm),"Weight 
(g)",ASIN*,Name on the LABEL,Amazon Category,"INTERNAL CODE
IMP",QTY PER PACK,DELISTED,Image Link,"Product Tax Code
IMP",PACKAGING TIME (MINS)
17,11.8,1.6,61,B00OV5FB4U,So there's this girl who stole my heart and changed my name to MUMMY Quote Bangle,Jewellery,SELF3502045122,1,,https://images-na.ssl-images-amazon.com/images/I/5176hT93q9L._AC_UY575_.jpg,A_GEN_STANDARD,0.5
14,10.2,0.4,30,B00GUK9BTA,Grandmother Message Bangle,Jewellery,SELF9549013539,1,,https://images-na.ssl-images-amazon.com/images/I/31PF-M0xXAL._UY395_.jpg,A_GEN_STANDARD,0.5
14,10.2,0.4,30,B01AWHWFVW,Sterlina Milano Sentimental Bangle Good Friends are Like Angels.You Don't Have to See Them to Know They are There Rosegold Plated,Jewellery,SELF5841195094,1,,https://images-na.ssl-images-amazon.com/images/I/71UXAS4z9aL._AC_UL1500_.jpg,A_GEN_STANDARD,0.5
14,10.2,0.4,30,B00OV5F8NE,Rue B So There's This Man. Quote Bangle: So There's This Man who Stole My Heart and Changed My Name to MRS,Jewellery,SELF2890889103,1,,https://images-na.ssl-images-amazon.com/images/I/515SXJlKqFL._UL1000_.jpg,A_GEN_STANDARD,0.5
14,10.2,0.4,30,B014L8SBSE,Rue B Star Charm Fill Your Life with Joy.Harmony.Peace.Dreams Quote Charm Bangle,Jewellery,SELF6605862811,1,,https://images-na.ssl-images-amazon.com/images/I/61jEMRy-zuL._AC_UY535_.jpg,A_GEN_STANDARD,0.5
14,10.19,0.4,30,B00L6FBIGS,Rue B Sisters Quote Bangle: Sisters Share a Special Bond That Lasts a Lifetime,Jewellery,SELF6568310053,1,,https://images-na.ssl-images-amazon.com/images/I/61OVEOYhGkL._AC_UY535_.jpg,A_GEN_STANDARD,0.5
16.6,13.6,1.6,41,B07B7P2Z8Z,Love The Links Silver Far Away Thoughts Quote Message Bangle Bracelet,Jewellery,SELF441232241,1,,https://images-na.ssl-images-amazon.com/images/I/41sTFY6crHL._AC_.jpg,A_GEN_STANDARD,0.5
25,21.5,9.5,1760,B01MG3I6RE,3 x OzKleen Bath Power Bathroom Cleaner 500ml,Grocery,108604,1,,https://images-na.ssl-images-amazon.com/images/I/71mpwEfDM7L._AC_SL1500_.jpg,A_GEN_STANDARD,0.3
25,22.4,9.4,1740,B07CQ199PR,Ozkleen Mint Kleen Environmentally-Friendly All-Purpose Cleaner 500ml Pack of 3,Grocery,018604-1,1,,https://images-na.ssl-images-amazon.com/images/I/71Oj2O730GL._AC_SL1500_.jpg,A_GEN_STANDARD,0.3
27.5,3.8,3.8,20,B00CL8JG2M,Nespresso Capriccio x 1 sleeve,Grocery,7640156771213,1,,https://m.media-amazon.com/images/I/41C3i6PwosL._SL500_.jpg,A_FOOD_COFFEE,0.3
