Source,"COMPANY IDENTIFIER OR 
EAN (13 Digit) OR 
UNIQUE CODE (10 Digit)",SUPPLIER CODE,HS CODE,Products,packaging time (minutes),"total purchase price 
(Excluding VAT)",Quantity Purchased,Contents in a Pack,Packs in a Box (moq),Procurement Cost,Purchase VAT (%),Purchase Price Per Unit (ex Vat),Product Specific Procurement Cost
Tassimo,7622210368423,,,TASSIMO Morning Cafe,,2.9665,1,16,5,0,0,2.97,0
Tassimo,7622210010605,,,CAFE HAG,,3.1365,1,16,5,0,0,3.14,0
Tassimo,7622300719401,,,TWININGS EARL GREY,,3.1365,1,16,5,0,0,3.14,0
Tassimo,7622300477677,,,CARTE NOIRE Cappuccino,,3.3915,1,8,5,0,0,3.39,0
Tassimo,7622300719418,,,TWININGS FRUITS OF THE FOREST TEA,,3.1365,1,16,5,0,0,3.14,0
Tassimo,7622300718367,,,TWININGS GREEN TEA AND MINT,,3.1365,1,16,5,0,0,3.14,0
Tassimo,7622300719487,,,TASSIMO CREAMER FROM MILK,,3.3065,1,16,5,0,0,3.31,0
Tassimo,SELF8366514823,,,Carte Noire Latte Macchiato,,4.0715,1,8,5,0,0,4.07,0
Tassimo,7622300456313,,,Carte Noire Latte Macchiato Caramel,,4.0715,1,8,5,0,0,4.07,0
Tassimo,7622210011152,,,CARTE NOIRE Cafe Long Aromatique,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210011114,,,Carte Noire Cafe Long Delicat,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622300656164,,,Chai Latte,,4.0715,1,8,5,0,0,4.07,0
Tassimo,SELF8187514270,,,CARTE NOIRE Decaffeinated Espresso,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622300777319,,,COSTA Cappuccino,,2.798,1,8,5,0,0,2.8,0
Tassimo,7622210098825,,,Costa Caramel Latte,,5.29,1,8,5,0,0,5.29,0
Tassimo,7622210438386,343930,,Costa Latte,,3.298,1,8,5,0,0,3.3,0
Tassimo,SELF965753668,,,CARTE NOIRE Expresso,,3.3915,1,16,5,0,0,3.39,0
Tassimo,SELF1215670292,,,Carte Noire Expresso Intense,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210010513,,,Jacobs Latte Macchiato,,4.0715,1,8,5,0,0,4.07,0
Tassimo,SELF8418874478,,,Jacobs Medaille Dor,,3.3915,1,8,5,0,0,3.39,0
Tassimo,7622210452276,,,CARTE NOIRE Petit Dejeuner,,3.3915,1,16,5,0,0,3.39,0
Tassimo,SELF3436497813,,,Carte Noire Petit Dejeuner XL,,3.3915,1,16,5,0,0,3.39,0
Tassimo,8711000504833,,,Jacobs Caffe Crema Intenso,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210020055,,,JACOBS Espresso,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210288738,,,Milka Chocolate,,3.65,1,8,5,0,0,3.65,0
Tassimo,7622210010346,,,JACOBS Monarch,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622300047031,,,KENCO CAFFE CREMA,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622300047030,,,KENCO Americano Smooth,,3.69,1,16,5,0,0,3.69,0
Tassimo,7622300277802,,,KENCO PURE COLOMBIAN,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210276889,,,TASSIMO Oreo,,3.6465,1,8,5,0,0,3.65,0
Tassimo,7622300127732,,,SUCHARD HOT CHOCOLATE,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210018069,,,TWININGS Apres-Midi d'Orient,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7612100185001,,,Twinings English Breakfast,,3.3915,1,16,5,0,0,3.39,0
Tassimo,7622210435682,,,Kenco Americano Grande,,3.6465,1,16,5,0,0,3.65,0
Tassimo,7622300777388,,,COSTA Americano,,3.79,1,16,5,0,0,3.79,0
Nespresso,7640156771244,,,Arpeggio,,3.6,1,10,20,1,0,3.6,0.07
Nespresso,7640156776393,,,Bukeela ka Ethiopia,,3.7,1,10,20,1,0,3.7,0.07
Nespresso,7640156771213,,,Capriccio,,3.6,1,10,20,1,0,3.6,0.07
Nespresso,7640154062023,,,Caramel Creme Brulee,,4.3,1,10,20,1,0,4.3,0.07
Nespresso,7640154061804,,,Cocoa Truffle,,4.3,1,10,20,1,0,4.3,0.07
Nespresso,7640159925552,,,Cosi,,3.6,1,10,20,1,0,3.6,0.07
Nespresso,7630030322891,,,Decaffeinato Arpeggio,,3.9,1,10,20,1,0,3.9,0.07
Nespresso,7640156771350,,,Decaffeinato Intenso,,3.5,1,10,20,1,0,3.5,0.07
