PARENT CODE,PARENT PRODUCT NAME,Total Quantity (Total Sleeves / Products),No. of Childs (flavours / assortments),QTY of Each Child,Child ID,Child Opened,Supplier,Child Name,Child Cost Ex VAT (individial),Child Cost Ex VAT (Total),Parent Cost (Total) Ex VAT,VAT %,Procurement Cost,TOTAL PURCHASE PRICE (EX VAT),Product Count
MIX5475668107,"Nespresso Original Line Assortment (Kazaar x2, Dharkan x2)",4,2,2,7640156771473,NO,Nespresso,Kazaar,3.8,7.6,14.8,0.00,£0.14,7.6,0
MIX5475668107,"Nespresso Original Line Assortment (Kazaar x2, Dharkan x2)",4,2,2,SELF8155764730,NO,Nespresso,Napoli,3.6,7.2,14.8,0.00,£0.14,7.2,0
MIX920037743,"Nespresso Limited Edition 30 Capsules (Vanilla Eclair, Caramel Creme Brulee, Cocoa Truffle)",3,3,1,7640154062023,NO,Nespresso,Caramel Creme Brulee,4.3,4.3,12.9,0.00,£0.07,4.3,0
MIX920037743,"Nespresso Limited Edition 30 Capsules (Vanilla Eclair, Caramel Creme Brulee, Cocoa Truffle)",3,3,1,7640154061804,NO,Nespresso,Cocoa Truffle,4.3,4.3,12.9,0.00,£0.07,4.3,0
MIX920037743,"Nespresso Limited Edition 30 Capsules (Vanilla Eclair, Caramel Creme Brulee, Cocoa Truffle)",3,3,1,7640154061866,NO,Nespresso,Vanilla Eclair,4.3,4.3,12.9,0.00,£0.07,4.3,0
MIX1165460304,"Nespresso Variety Pack (Volluto x2, Cosi, Linizio, Capriccio, Nicaragua, Ethiopia)",7,6,2,7640156771275,NO,Nespresso,Volluto,3.6,7.2,26.4,0.00,£0.14,7.2,0
MIX1165460304,"Nespresso Variety Pack (Volluto x2, Cosi, Linizio, Capriccio, Nicaragua, Ethiopia)",7,6,1,7640159925552,NO,Nespresso,Cosi,3.6,3.6,26.4,0.00,£0.07,3.6,0
MIX1165460304,"Nespresso Variety Pack (Volluto x2, Cosi, Linizio, Capriccio, Nicaragua, Ethiopia)",7,6,1,7640156771213,NO,Nespresso,Capriccio,3.6,3.6,26.4,0.00,£0.07,3.6,0
MIX1165460304,"Nespresso Variety Pack (Volluto x2, Cosi, Linizio, Capriccio, Nicaragua, Ethiopia)",7,6,1,7640154061569,NO,Nespresso,Linizio Lungo,3.8,3.8,26.4,0.00,£0.07,3.8,0
MIX1165460304,"Nespresso Variety Pack (Volluto x2, Cosi, Linizio, Capriccio, Nicaragua, Ethiopia)",7,6,1,7630039695460,NO,Nespresso,Nicaragua,4.1,4.1,26.4,0.00,£0.07,4.1,0
MIX1165460304,"Nespresso Variety Pack (Volluto x2, Cosi, Linizio, Capriccio, Nicaragua, Ethiopia)",7,6,1,7630039695569,NO,Nespresso,Ethiopia,4.1,4.1,26.4,0.00,£0.07,4.1,0
MIX9545937209,Tassimo Favourite Variety T-discs Bundle,24,3,8,7622210370167,NO,Costco,Cadbury drinking chocolate,4,31.92,80.688,0.00,£0.64,31.92,1
MIX9545937209,Tassimo Favourite Variety T-discs Bundle,24,3,8,7622210438386,NO,Tassimo,Costa Latte,3.3,26.384,80.688,0.00,0,26.4,1
MIX9545937209,Tassimo Favourite Variety T-discs Bundle,24,3,8,7622300777319,NO,Tassimo,COSTA Cappuccino,2.8,22.384,80.688,0.00,0,22.4,1
MIX4626070523,"50 Nespresso Lungo Mix (Vivalto Lungo, Fortissio Lungo, Linizio Lungo, Shanghai Lungo, Evivo Lungo)",5,5,1,7630030359729,NO,Nespresso,Envivo Lungo,3.8,3.8,19,0.00,£0.07,3.8,1
MIX4626070523,"50 Nespresso Lungo Mix (Vivalto Lungo, Fortissio Lungo, Linizio Lungo, Shanghai Lungo, Evivo Lungo)",5,5,1,SELF8848843175,NO,Nespresso,Shanghai Lungo,3.8,3.8,19,0.00,£0.07,3.8,1
MIX4626070523,"50 Nespresso Lungo Mix (Vivalto Lungo, Fortissio Lungo, Linizio Lungo, Shanghai Lungo, Evivo Lungo)",5,5,1,7640159924838,NO,Nespresso,Fortissio Lungo,3.8,3.8,19,0.00,£0.07,3.8,1
MIX4626070523,"50 Nespresso Lungo Mix (Vivalto Lungo, Fortissio Lungo, Linizio Lungo, Shanghai Lungo, Evivo Lungo)",5,5,1,7640154061569,NO,Nespresso,Linizio Lungo,3.8,3.8,19,0.00,£0.07,3.8,1
MIX4626070523,"50 Nespresso Lungo Mix (Vivalto Lungo, Fortissio Lungo, Linizio Lungo, Shanghai Lungo, Evivo Lungo)",5,5,1,7640156771596,NO,Nespresso,Vivalto Lungo,3.8,3.8,19,0.00,£0.07,3.8,1
MIX3486783940,"Nespresso Decaffeinato Mix (Decaf Vivalto, Decaf Arpeggio, Decaf Ristretto)",3,3,1,7630030322891,NO,Nespresso,Decaffeinato Arpeggio,3.9,3.9,11.6,0.00,£0.07,3.9,1
MIX3486783940,"Nespresso Decaffeinato Mix (Decaf Vivalto, Decaf Arpeggio, Decaf Ristretto)",3,3,1,7630030322976,NO,Nespresso,Decaffeinato Volluto,3.8,3.8,11.6,0.00,£0.07,3.8,1
MIX3486783940,"Nespresso Decaffeinato Mix (Decaf Vivalto, Decaf Arpeggio, Decaf Ristretto)",3,3,1,7630030384585,NO,Nespresso,Decaf Ristretto,3.9,3.9,11.6,0.00,£0.07,3.9,1
MIX1681501150,"50 Nespresso Variety Mix (Decaf Arpeggio, Decaf Ristretto, Decaf Volluto, Cosi, Vivalto)",5,5,1,7630030322891,NO,Nespresso,Decaffeinato Arpeggio,3.9,3.9,18.8,0.00,£0.07,3.9,1
MIX1681501150,"50 Nespresso Variety Mix (Decaf Arpeggio, Decaf Ristretto, Decaf Volluto, Cosi, Vivalto)",5,5,1,7630030322976,NO,Nespresso,Decaffeinato Volluto,3.8,3.8,18.8,0.00,£0.07,3.8,1
MIX1681501150,"50 Nespresso Variety Mix (Decaf Arpeggio, Decaf Ristretto, Decaf Volluto, Cosi, Vivalto)",5,5,1,7630030384585,NO,Nespresso,Decaf Ristretto,3.9,3.9,18.8,0.00,£0.07,3.9,1
MIX1681501150,"50 Nespresso Variety Mix (Decaf Arpeggio, Decaf Ristretto, Decaf Volluto, Cosi, Vivalto)",5,5,1,7640159925552,NO,Nespresso,Cosi,3.6,3.6,18.8,0.00,£0.07,3.6,1
MIX1681501150,"50 Nespresso Variety Mix (Decaf Arpeggio, Decaf Ristretto, Decaf Volluto, Cosi, Vivalto)",5,5,1,7640156771275,NO,Nespresso,Volluto,3.6,3.6,18.8,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771244,NO,Nespresso,Arpeggio,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771213,NO,Nespresso,Capriccio,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640159925552,NO,Nespresso,Cosi,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7630030384585,NO,Nespresso,Decaf Ristretto,3.9,3.9,36.7,0.00,£0.07,3.9,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640159924838,NO,Nespresso,Fortissio Lungo,3.8,3.8,36.7,0.00,£0.07,3.8,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771336,NO,Nespresso,Livanto,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771435,NO,Nespresso,Ristretto,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771299,NO,Nespresso,Roma,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771596,NO,Nespresso,Vivalto Lungo,3.8,3.8,36.7,0.00,£0.07,3.8,1
MIX5532456597,"Nespresso 100 Mix (Arpeggio, Roma, Capriccio, Ristretto, Livanto, Volluto, Cosi, Vivalto Lungo, Fortissio Lungo, Decaf Ristretto)",10,10,1,7640156771275,NO,Nespresso,Volluto,3.6,3.6,36.7,0.00,£0.07,3.6,1
MIX6045595947,"50 Original Nespresso Mix (Ristretto, Arpeggio, Roma, Capriccio, Livanto)",5,5,1,7640156771244,NO,Nespresso,Arpeggio,3.6,3.6,18,0.00,£0.07,3.6,1
MIX6045595947,"50 Original Nespresso Mix (Ristretto, Arpeggio, Roma, Capriccio, Livanto)",5,5,1,7640156771213,NO,Nespresso,Capriccio,3.6,3.6,18,0.00,£0.07,3.6,1
